"U.S. Adult Population Deaths by Suicide: Crude Suicide Rates, by Sex and Age Group, 2001-2022",,,,,,,,,,,,
Year of Death,Age Group,Suicide Deaths,Population Estimate,"Crude Rate per 100,000",Male Suicide Deaths,Male Population Estimate,"Male Crude Rate per 100,000",Female Age Group,Female Suicide Deaths,Female Population Estimate,"Female Crude Rate per 100,000",sheet_id
2021,75+,4508,22806453,19.76633543,3947,9442039,41.80241153,.,.,.,.,U.S. Adult Population
2021,All,46412,259219518,17.90451597,37150,127460424,29.14630191,All,9262,131759094,7.029495816,U.S. Adult Population
2022,18-34,13623,76829431,17.73148626,10921,39208218,27.85385452,18-34,2702,37621213,7.182118237,U.S. Adult Population
2022,35-54,15966,84127010,18.97844699,12439,42399819,29.33738939,35-54,3527,41727191,8.452522002,U.S. Adult Population
2022,55-74,13260,75873876,17.47637092,10418,36582575,28.47803907,55+,3489,53279042,6.548541169,U.S. Adult Population
2022,75+,5042,24006413,21.00272123,4395,10018672,43.8680895,.,.,.,.,U.S. Adult Population
2022,All,47891,260836730,18.36052768,38173,128209284,29.77397487,All,9718,132627446,7.327291819,U.S. Adult Population
2001,18-34,67,226814,29.53962277,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2001,35-54,580,1203284,48.11831621,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2001,55-74,561,1562209,35.91068801,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2001,75+,364,849966,42.82524242,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2001,All,1572,3844207,40.8666859,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2002,18-34,58,224656,25.81724948,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2002,35-54,583,1192537,48.80351721,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2002,55-74,637,1817076,35.05632125,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2002,75+,427,1018388,41.92900938,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2002,All,1705,4254661,40.05019436,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2003,18-34,74,229126,32.29664028,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2003,35-54,515,1171876,43.94662917,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2003,55-74,648,2036859,31.81368961,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2003,75+,400,1124352,35.57604736,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2003,All,1637,4564174,35.86629256,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2004,18-34,71,242992,29.21906894,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2004,35-54,491,1136351,43.1204795,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2004,55-74,732,2176277,33.63542417,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2004,75+,430,1180125,36.43681813,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2004,All,1724,4737243,36.37136621,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2005,18-34,64,264368,24.20867881,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2005,35-54,460,1106663,41.56640278,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2005,55-74,753,2270984,33.15743308,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2005,75+,447,1246470,35.86127223,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2005,All,1724,4889630,35.25829153,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2006,18-34,77,283422,27.16796861,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2006,35-54,447,1076663,41.42428968,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2006,55-74,797,2319358,34.36295734,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2006,75+,487,1294023,37.63457064,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2006,All,1809,4974635,36.34437501,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2007,18-34,76,313588,24.23562126,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2007,35-54,444,1063990,41.7297155,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2007,55-74,768,2335896,32.87817608,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2007,75+,502,1320252,38.02304409,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2007,All,1790,5036139,35.54310157,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2008,18-34,95,348962,27.22359455,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2008,35-54,473,1063135,44.49105711,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2008,55-74,876,2341638,37.40971064,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2008,75+,500,1326189,37.6266128,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2008,All,1944,5082506,38.22917277,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2009,18-34,113,393672,28.70409884,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2009,35-54,439,1083685,40.50992678,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2009,55-74,834,2394004,34.83703452,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2009,75+,512,1318352,38.8363654,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2009,All,1898,5191877,36.55710642,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2010,18-34,133,439362,30.27116592,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2010,35-54,447,1119694,39.92162144,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2010,55-74,890,2517793,35.34841824,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2010,75+,461,1321393,34.88742562,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2010,All,1931,5400120,35.75846463,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2011,18-34,185,480880,38.47113625,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2011,35-54,519,1139791,45.53466381,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2011,55-74,893,2639661,33.83010167,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2011,75+,525,1313577,39.96720405,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2011,All,2122,5575491,38.05942831,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2012,18-34,198,519130,38.14073546,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2012,35-54,478,1149994,41.47847728,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2012,55-74,894,2727266,32.78008086,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2012,75+,539,1295400,41.60876949,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2012,All,2109,5693196,37.02665427,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2013,18-34,249,558043,44.62021744,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2013,35-54,440,1168609,37.65160118,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2013,55-74,937,2787090,33.61929468,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2013,75+,561,1264674,44.3592578,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2013,All,2187,5779532,37.84043414,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2014,18-34,268,586312,45.70945162,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2014,35-54,487,1204945,40.33379117,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2014,55-74,961,2860906,33.59075761,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2014,75+,555,1242629,44.66337097,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2014,All,2271,5895705,38.50260486,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2015,18-34,285,608100,46.86729156,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2015,35-54,513,1238518,41.42047189,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2015,55-74,973,2921316,33.30690689,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2015,75+,544,1217337,44.60556116,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2015,All,2315,5986080,38.6563494,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2016,18-34,316,627277,50.37646845,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2016,35-54,485,1263633,38.38139713,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2016,55-74,983,2959513,33.18113487,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2016,75+,573,1209617,47.37036599,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2016,All,2357,6060856,38.8723969,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2017,18-34,328,625462,52.44123544,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2017,35-54,507,1290498,39.28715891,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2017,55-74,973,2976724,32.68694041,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2017,75+,561,1216435,46.11837048,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2017,All,2369,6109928,38.77296099,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2018,18-34,313,613983,50.8157392,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2018,35-54,535,1324361,40.39684044,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2018,55-74,995,2963986,33.56965924,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2018,75+,542,1246975,43.46518575,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2018,All,2385,6150053,38.76389358,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2019,18-34,316,592775,53.30859095,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2019,35-54,572,1365890,41.87745719,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2019,55-74,991,2943232,33.63649213,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2019,75+,600,1288805,46.55475421,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2019,All,2479,6191335,40.02367825,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2020,18-34,319,551203,57.87341506,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2020,35-54,516,1398971,36.88425278,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2020,55-74,906,2871146,31.5553441,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2020,75+,709,1327667,53.40194492,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2020,All,2450,6149645,39.83969806,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2021,18-34,308,524986,58.66823115,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2021,35-54,625,1457846,42.87146928,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2021,55-74,850,2802609,30.32888284,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2021,75+,664,1387379,47.8600296,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2021,All,2447,6173380,39.6379293,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2022,18-34,300,522150,57.45475438,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2022,35-54,628,1511917,41.53667166,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2022,55-74,860,2633466,32.65658262,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2022,75+,784,1554792,50.42475135,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2022,All,2572,6223043,41.33026238,NA,NA,NA,NA,NA,NA,NA,Recent Veteran VHA User
2001,18-34,549,2394214,22.93028109,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2001,35-54,1931,7737465,24.95649415,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2001,55-74,1135,8166172,13.89880105,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2001,75+,815,3593443,22.68019835,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2001,All,4433,21889328,20.25187799,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2002,18-34,532,2280258,23.33069328,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2002,35-54,1851,7283729,25.41280709,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2002,55-74,1189,7966232,14.92550054,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2002,75+,862,3575319,24.10973678,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2002,All,4441,21103515,21.04388771,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2003,18-34,594,2162645,27.46636642,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2003,35-54,1806,6905418,26.15337696,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2003,55-74,1176,7821469,15.03553872,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2003,75+,792,3522951,22.48115287,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2003,All,4375,20410508,21.43503729,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2004,18-34,517,2089242,24.7458169,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2004,35-54,1744,6632379,26.29524037,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2004,55-74,1169,7662843,15.25543457,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2004,75+,849,3614301,23.49001923,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2004,All,4282,19997254,21.41294,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2005,18-34,512,1984086,25.80533303,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2005,35-54,1678,6466109,25.95069152,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2005,55-74,1249,7554154,16.5339494,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2005,75+,964,3655789,26.36913673,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2005,All,4407,19658980,22.4172363,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2006,18-34,454,1901003,23.88212959,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2006,35-54,1626,6320809,25.7245552,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2006,55-74,1265,7295241,17.34007142,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2006,75+,884,3605384,24.5188862,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2006,All,4230,19121254,22.12198008,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2007,18-34,485,1821784,26.62225599,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2007,35-54,1665,6121655,27.1985272,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2007,55-74,1358,7081118,19.17776261,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2007,75+,952,3550114,26.81604027,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2007,All,4461,18572241,24.01971846,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2008,18-34,509,1753331,29.03045688,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2008,35-54,1685,5935473,28.38863895,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2008,55-74,1464,6938335,21.10016308,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2008,75+,967,3589502,26.93967018,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2008,All,4627,18214046,25.40347158,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2009,18-34,494,1697458,29.10234009,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2009,35-54,1655,5723967,28.913514,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2009,55-74,1464,6792223,21.55406264,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2009,75+,1011,3555167,28.43748268,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2009,All,4626,17766639,26.037564,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2010,18-34,489,1652830,29.58561982,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2010,35-54,1606,5481036,29.30102995,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2010,55-74,1499,6706498,22.35145675,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2010,75+,1028,3460724,29.70476698,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2010,All,4624,17299201,26.7295582,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2011,18-34,488,1600155,30.4970456,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2011,35-54,1477,5246970,28.14957966,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2011,55-74,1433,6565935,21.82476677,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2011,75+,921,3443216,26.74824931,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2011,All,4329,16854684,25.68425489,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2012,18-34,529,1574865,33.59018075,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2012,35-54,1442,5019603,28.72737147,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2012,55-74,1459,6400199,22.79616618,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2012,75+,902,3430013,26.29727642,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2012,All,4337,16423267,26.40765689,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2013,18-34,559,1541844,36.25528912,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2013,35-54,1370,4803056,28.5235067,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2013,55-74,1487,6277233,23.68878135,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2013,75+,898,3512874,25.56311442,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2013,All,4320,16133881,26.77595056,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2014,18-34,522,1509566,34.57947516,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2014,35-54,1381,4605017,29.98903153,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2014,55-74,1530,6153122,24.86542604,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2014,75+,945,3439308,27.47645747,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2014,All,4384,15706084,27.91275024,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2015,18-34,556,1456848,38.16458546,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2015,35-54,1350,4400729,30.6767356,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2015,55-74,1522,5981469,25.44525433,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2015,75+,872,3341144,26.09884519,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2015,All,4306,15179372,28.36744498,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2016,18-34,573,1400964,40.90040858,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2016,35-54,1208,4208892,28.70114035,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2016,55-74,1466,5829278,25.1489121,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2016,75+,864,3310096,26.101962,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2016,All,4120,14748405,27.93522418,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2017,18-34,544,1356872,40.09221209,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2017,35-54,1277,4027322,31.70841567,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2017,55-74,1552,5675220,27.34695747,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2017,75+,930,3276503,28.3839203,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2017,All,4323,14335098,30.15675233,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2018,18-34,572,1306577,43.77851439,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2018,35-54,1196,3848959,31.07333697,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2018,55-74,1662,5557672,29.90460754,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2018,75+,889,3257226,27.29316296,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2018,All,4337,13969680,31.04580778,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2019,18-34,501,1279954,39.14203167,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2019,35-54,1094,3672612,29.78806365,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2019,55-74,1457,5382709,27.06815472,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2019,75+,930,3228970,28.80175412,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2019,All,4009,13563605,29.55703886,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2020,18-34,534,1275545,41.86445794,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2020,35-54,1061,3503469,30.28426968,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2020,55-74,1338,5140495,26.02862176,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2020,75+,888,3147007,28.21728709,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2020,All,3876,13065850,29.66511938,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2021,18-34,585,1275740,45.85573863,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2021,35-54,1080,3334810,32.38565316,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2021,55-74,1441,4827655,29.84886037,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2021,75+,809,3170238,25.51858883,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2021,All,3957,12607879,31.38513623,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2022,18-34,549,1257284,43.66555209,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2022,35-54,1042,3184408,32.72193764,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2022,55-74,1403,4587369,30.58397962,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2022,75+,813,3156712,25.75464597,NA,NA,NA,NA,NA,NA,NA,Other Veteran
2022,All,3835,12185052,31.47298838,NA,NA,NA,NA,NA,NA,NA,Other Veteran
